"DAY","HOUR24","MINUTE","FRACTIONAL DAY","DATESTRING","ALTITUDE","AZIMUTH"
1,0,0,0.0,"Day 1, 00:00am",-89.50684931506935,169.99999999999872
1,0,15,0.010416666666666666,"Day 1, 00:15am",-85.76336393626202,178.86491845490582
1,0,30,0.020833333333333332,"Day 1, 00:30am",-82.01362458739409,179.4093239168257
1,0,45,0.03125,"Day 1, 00:45am",-78.26362401540696,179.60531572514887
1,1,0,0.041666666666666664,"Day 1, 01:00am",-74.51355191095034,179.70601142149954
1,1,15,0.052083333333333330,"Day 1, 01:15am",-70.76345005480951,179.76715902696816
1,1,30,0.062499999999999996,"Day 1, 01:30am",-67.01333296606263,179.80812659493844
1,1,45,0.072916666666666664,"Day 1, 01:45am",-63.263207020345185,179.83741505876026
1,2,0,0.08333333333333333,"Day 1, 02:00am",-59.513075458205705,179.85934189496598
1,2,15,0.093749999999999996,"Day 1, 02:15am",-55.76294010198872,179.87633231322067
1,2,30,0.104166666666666662,"Day 1, 02:30am",-52.012802055781655,179.88985332555671
1,2,45,0.11458333333333333,"Day 1, 02:45am",-48.26266202802599,179.90084425383358
1,3,0,0.125,"Day 1, 03:00am",-44.51252049455242,179.90993428007724
1,3,15,0.135416666666666666,"Day 1, 03:15am",-40.76237778711733,179.9175605769901
1,3,30,0.145833333333333332,"Day 1, 03:30am",-37.01223414434733,179.92403627277213
1,3,45,0.15625,"Day 1, 03:45am",-33.26208974248406,179.92959146056685
1,4,0,0.16666666666666666,"Day 1, 04:00am",-29.511944714695353,179.93439895092115
1,4,15,0.177083333333333326,"Day 1, 04:15am",-25.76179916362563,179.93859100214786
1,4,30,0.187499999999999992,"Day 1, 04:30am",-22.011653169793917,179.94227051220153
1,4,45,0.19791666666666666,"Day 1, 04:45am",-18.261506797360617,179.94551869880212
1,5,0,0.20833333333333334,"Day 1, 05:00am",-14.51136009817691,179.94840048904518
1,5,15,0.218750000000000006,"Day 1, 05:15am",-10.761213114686337,179.95096837732567
1,5,30,0.229166666666666672,"Day 1, 05:30am",-7.011065882039971,179.95326523605644
1,5,45,0.23958333333333334,"Day 1, 05:45am",-3.260918429665208,179.95532639605514
1,6,0,0.25,"Day 1, 06:00am",0.4892292175547232,179.95718120838217
1,6,15,0.260416666666666666,"Day 1, 06:15am",4.23937703838222,179.95885423193795
1,6,30,0.270833333333333332,"Day 1, 06:30am",7.989525014531599,179.9603661468904
1,6,45,0.28125,"Day 1, 06:45am",11.739673130128056,179.96173446440875
1,7,0,0.2916666666666667,"Day 1, 07:00am",15.489821371281483,179.96297408302928
1,7,15,0.302083333333333366,"Day 1, 07:15am",19.2399697257468,179.96409772800237
1,7,30,0.312500000000000032,"Day 1, 07:30am",22.990118182651383,179.96511630009783
1,7,45,0.3229166666666667,"Day 1, 07:45am",26.740266732274492,179.96603915321668
1,8,0,0.3333333333333333,"Day 1, 08:00am",30.490415365866635,179.9668743148498
